movieId,movieName,movieRate
2724064,Sharknado,3.3
1684226,The Normal Heart,7.9
1510938,The Sunset Limited,7.4
1848902,Game Change,7.4
1679235,Mean Girls 2,4.1
1933667,The Wizard of Lies,6.8
3062074,Sharknado 2: The Second One,4
2279864,Clear History,6.5
1704292,Battlestar Galactica: Blood & Chrome,7
3895884,7 Days in Hell,7.1
1742683,Too Big to Fail,7.3
1797469,Page Eight,6.8
3440298,Descendants,6.4
1648204,Lemonade Mouth,6.9
2287663,Blue Lagoon: The Awakening,5.5
4943998,Deadwood: The Movie,7.6
3791216,All the Way,7.3
1930315,Cyberbully,5.6
3899796,Sharknado 3: Oh Hell No!,4.1
3318220,Jongens,7.5
2770480,Remember Sunday,6.9
1835977,Geek Charming,6.4
2095605,Seal Team Six: The Raid on Osama Bin Laden,5.7
8425058,Brexit,7
2325989,Teen Beach Movie,5.9
3074694,Flowers in the Attic,6.1
423455,Hemingway & Gellhorn,6.3
3145422,The After,7.5
5886510,Tour de Pharmacy,7.1
4366830,Grease Live!,7.3
5012394,Maigret Sets a Trap,7.1
2008633,Radio Rebel,6
4271918,An Inspector Calls,7.7
1825918,Phineas and Ferb the Movie: Across the 2nd Dimension,7.4
2090440,Zombieland,5.9
2308733,Home Alone: The Holiday Heist,3.5
4831420,Sharknado 4: The 4th Awakens,3.9
1845866,Teen Spirit,5.5
6868216,Psych: The Movie,7.5
4135218,Cyberbully,6.8
2132485,The Girl,6.3
1267299,The Rocky Horror Picture Show: Let's Do the Time Warp Again,4.2
5117876,Descendants 2,6.5
1745862,Phil Spector,6.2
4552118,Looking,7.5
1083448,A Princess for Christmas,6.4
2663812,An Adventure in Space and Time,8.3
1697851,Burn Notice: The Fall of Sam Axe,7.2
1820723,Treasure Island,6.3
5017060,Maigret's Dead Man,7.1
5262792,Dirty Dancing,3.1
2388986,Paterno,6.5
7133092,Spielberg,7.7
4434688,The Spirit of Christmas,6.5
2904608,Turks & Caicos,6.5
3831810,Big Driver,5.6
1709157,The Lost Valentine,7.5
3659786,Marvellous,7.9
6268052,Oasis,8.2
2448374,The Wizards Return: Alex vs. Alex,6.5
1876547,Zombie Apocalypse,4
3118958,Lizzie Borden Took an Ax,5.8
10090796,Game of Thrones: The Last Watch,7.3
6298780,Sharknado 5: Global Swarming,3.9
1311076,My Dinner with Hervé,7
6543420,Andre the Giant,7.8
1846442,12 Dates of Christmas,6.3
2569088,The Saint,4.9
4608402,Confirmation,6.8
2180158,Justin Bieber: All Around the World,1.6
5362352,DC's Legends of Tomorrow: Their Time Is Now,7.2
1828976,"Good Luck Charlie, It's Christmas!",6.4
3205394,Roald Dahl's Esio Trot,7
4262142,Cleveland Abduction,6.7
4163668,The Eichmann Show,6.5
3496892,Petals on the Wind,6.1
2375255,Liz & Dick,4
1790621,A Christmas Kiss,6.2
2421662,The Challenger Disaster,7.3
1865368,Frenemies,5.1
1651062,Christopher and His Kind,7.1
2011325,There's Something Wrong with Aunt Diane,6.7
3704352,Bessie,6.6
1693872,Red Faction: Origins,5.1
5456120,Donald Trump's The Art of the Deal: The Movie,5.9
2963232,The Hunters,5
3544734,Zapped,5.1
6540078,The Child in Time,6
1954299,I Am Bruce Lee,7.5
7344360,Long Shot,7.4
2838678,A Royal Christmas,6.6
3822818,Nackt unter Wölfen,7.2
2762970,Cloud 9,6.6
1623742,Cinema Verite,6.5
3347518,In My Dreams,6.3
2815030,Killing Kennedy,6
1807892,Holiday Engagement,6
4457038,La Trattoria Sitcom,4.4
4573800,A Deadly Adoption,5.1
2904626,Salting the Battlefield,6.6
7074092,Christmas Wedding Planner,4.3
5133572,Crown for Christmas,7
6739094,Invader ZIM: Enter the Florpus,7.6
1680138,Mega Python vs. Gatoroid,3
1886644,Piranhaconda,2.9
3764966,Teen Beach 2,6.1
6326286,Maigret: Night at the Crossroads,7.4
2415112,A Bride for Christmas,6.6
2284766,Mary and Martha,6.9
5651050,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,8
1754799,The Suite Life Movie,5.3
5676118,A Wish For Christmas,6
1696192,"A Fairly Odd Movie: Grow Up, Timmy Turner!",4
2377132,The Makeover,5.7
3534842,Finders Keepers,4.3
2395247,How to Fall in Love,6.3
5686132,The Immortal Life of Henrietta Lacks,6.3
8031422,The Last Sharknado: It's About Time,3.5
3131456,A Very Merry Mix-Up,6.8
2241676,Restless,7.1
7126746,Truth or Dare,5
8022928,Descendants 3,6.9
1831829,William & Kate,5
1684927,Swamp Shark,3.7
2165933,Let It Shine,6.4
2600742,Ghost Shark,3.3
1792794,Almighty Thor,1.7
2355762,Christmas with Holly,7
3889642,The Nine Lives of Christmas,7.1
5664684,Hairspray Live!,7
5066870,Autumn Dreams,6.4
4247618,The Dresser,6.8
5210380,Merry Kissmas,5.4
4060576,Lavalantula,4.6
3214240,Snow Bride,6.8
4180032,Christmas Under Wraps,6.7
6878820,Z-O-M-B-I-E-S,6.3
4116030,Lady Chatterley's Lover,6.4
2004262,Jesse Stone: Benefit of the Doubt,7.1
5033114,Once Upon a Holiday,6.2
4456850,Adventures in Babysitting,6
5302658,Love on the Sidelines,6.8
4460176,All of My Heart,6.9
1710573,Jesse Stone: Innocents Lost,7.1
3098874,How to Build a Better Boy,5.5
2117905,Lake Placid: The Final Chapter,3.6
2039399,The Philadelphia Experiment,4.1
6429934,Maigret in Montmartre,7
5572566,Hidden Kisses,7.3
3856042,Bad Hair Day,6
5739680,A December Bride,6.9
2326087,Girl Vs. Monster,5.5
4184252,The Scandalous Lady W,6.5
5231268,Unleashing Mr. Darcy,6.2
1679180,Earth's Final Hours,4
3626180,The Christmas Secret,7.3
4767950,A Christmas Detour,6.2
1910605,Rags,6.9
1747924,My Future Boyfriend,5.5
1893218,Dear Santa,6.4
5133810,12 Gifts of Christmas,6.7
4935200,Félvilág,7.2
5076184,Harvest Moon,6.3
5257726,Hey Arnold: The Jungle Movie,7.6
7473890,King Lear,6.1
4590930,The Gamechangers,6.3
4497416,Lake Placid vs. Anaconda,3.3
1772373,The Craigslist Killer,5.3
1548628,Scream of the Banshee,3.8
1979269,Magic Beyond Words: The J.K. Rowling Story,6.7
2076781,6 Days to Air: The Making of South Park,7.7
9381998,Agatha and the Truth of Murder,6.3
2951888,The Thirteenth Tale,7
4814436,A Country Wedding,6.9
2151543,Arachnoquake,2.7
2246673,Lovestruck: The Musical,6.3
3320502,Let It Snow,6.7
3801438,Grumpy Cat's Worst Christmas Ever,5
4420110,Invisible Sister,6.1
4718770,The Wiz Live!,7.1
3783746,A Novel Romance,6.4
1733125,Dungeons & Dragons: The Book of Vile Darkness,4.5
8041006,Christmas with a View,5.1
2137442,CrazySexyCool: The TLC Story,7.6
2395219,Fred 3: Camp Fred,2
6987652,"Oh, Hello on Broadway",7.8
2299248,Killing Lincoln,6.7
5921218,The Mistletoe Promise,6.7
4016588,Surprised by Love,6.6
4505830,Jesse Stone: Lost in Paradise,7.2
5594080,Walk Invisible: The Brontë Sisters,7.4
6387232,A Royal Winter,6.5
2324998,Beyoncé: Life Is But a Dream,6.5
2515242,Anna Nicole,5.3
1783413,Amanda Knox,5.7
3307726,Bermuda Tentacles,3.6
4368496,Bridal Wave,6.4
2460976,Love at the Christmas Table,6.4
3972398,Peter Pan Live!,4.9
4234734,Babysitter's Black Book,5.4
1927093,Fred 2: Night of the Living Fred,2.4
8155182,Leprechaun Returns,5.1
4067256,Recipe for Love,6.4
5076032,October Kiss,6.5
1724572,The Suspicions of Mr Whicher: The Murder at Road Hill House,6.7
7358936,My Perfect Romance,4.6
2709784,Burton and Taylor,6.5
1637728,Ferocious Planet,4
2400685,Matchmaker Santa,6.7
1699225,Beyond the Blackboard,7.7
2147134,56 Up,7.9
3609402,Killing Jesus,4.6
2087820,Jack Irish: Bad Debts,6.8
4058368,If There Be Thorns,5.8
5615976,Date with Love,6.1
2328749,Steel Magnolias,5.5
2401147,A Mother's Nightmare,5.9
5113926,They Found Hell,4.8
2665200,Fir Crazy,6.4
1698647,Delirium,6.8
2374486,Help for the Holidays,6.8
6185074,A Cinderella Christmas,6.3
2490352,The Mistle-Tones,6.7
5566660,Love by Chance,6.1
2417134,Naughty or Nice,6.5
10515852,Steven Universe: The Movie,8.2
9099102,No Escape Room,5.3
1535615,Best Player,5.9
5692030,Ms. Matched,5.2
2071571,Scarecrow,4.1
2934036,The Cheshire Murders,6.7
1740828,Wonder Woman,4.3
6104760,My Christmas Love,6.4
4386242,R.L. Stine's Monsterville: Cabinet of Souls,5.7
7979492,Kim Possible,3.6
3881768,Beautiful & Twisted,5.6
2180168,TalhotBlond,6.5
5031014,Ice Sculpture Christmas,6.7
2641874,Dirty Teacher,4.7
5340362,Anything for Love,6.5
3743126,Sharktopus vs. Pteracuda,3.3
2536846,Call Me Crazy: A Five Film,6.9
2256703,Hitched for the Holidays,6.5
6269192,Journey Back to Christmas,7.1
1876349,Jersey Shore Shark Attack,3
1618372,Camel Spiders,2.4
2545440,Swindle,6.3
4472596,The Hollow,3.6
7056864,Cocaine Godmother,5.6
3750942,Whitney,5.1
5204384,Christmas Incorporated,6.5
2234451,An Amish Murder,6.2
4159212,One Starry Christmas,6.7
3881700,Kept Woman,6.2
2157346,Rommel,6.5
4380748,"I Do, I Do, I Do",6.2
1561770,The Shunning,6.3
1895321,Christmas Lodge,6.3
5329524,All Things Valentine,6.6
5533228,Tangled: Before Ever After,6.6
5922484,Summer Villa,6.7
5013980,Duell der Brüder - Die Geschichte von Adidas und Puma,6.9
5014528,Just in Time for Christmas,6.5
2362991,When Calls the Heart,6.6
