Company,Title,City,State,Country,Level,Industry,URL
Collabera Inc.,Web Developer,Seattle,WA,US,Executive,['Computer Software'],https://www.linkedin.com/jobs/view/web-developer-at-collabera-inc-1705164394?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Via,Operations Manager,Green Bay,WI,US,Mid-Senior level,"['Information Technology and Services,Automotive']",https://www.linkedin.com/jobs/view/operations-manager-at-via-1705162282?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Fahrenheit IT,Native Cloud Full-Stack Developer,Arlington,VA,US,Mid-Senior level,['Telecommunications'],https://www.linkedin.com/jobs/view/native-cloud-full-stack-developer-at-fahrenheit-it-1705144906?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Biomerics,Injection Molding Engineer,Salt Lake City,UT,US,Mid-Senior level,['Medical Devices'],https://www.linkedin.com/jobs/view/injection-molding-engineer-at-biomerics-1705144138?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Hunter International Recruiting,Construction Project Manager,Cincinnati,OH,US,Mid-Senior level,"['Construction,Civil Engineering,Consumer Goods']",https://www.linkedin.com/jobs/view/construction-project-manager-at-hunter-international-recruiting-1705136826?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
Delivery Dudes,Paralegal/Executive Assistant,Delray Beach,FL,US,Not Applicable,['Food & Beverages'],https://www.linkedin.com/jobs/view/paralegal-executive-assistant-at-delivery-dudes-1705138186?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
"North 6th Agency, Inc. (N6A)",PR Account Manager,New York,NY,US,Mid-Senior level,['Public Relations and Communications'],https://www.linkedin.com/jobs/view/pr-account-manager-at-north-6th-agency-inc-n6a-1705145428?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
The Mullings Group,Sr. Clinical Engineer (Neurostim Technology),San Francisco,CA,US,Mid-Senior level,"['Medical Devices,Biotechnology,Electrical/Electronic Manufacturing']",https://www.linkedin.com/jobs/view/sr-clinical-engineer-neurostim-technology-at-the-mullings-group-1705143428?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
"Synergy Consulting Group, Inc.",Application Support Developer,Cincinnati,OH,US,Mid-Senior level,"['Computer Software,Information Technology and Services']",https://www.linkedin.com/jobs/view/application-support-developer-at-synergy-consulting-group-inc-1705133943?refId=6753440a-4091-4e4c-8bef-9b31e3136870&position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click
